subject,target,leftpic,rightpic,person,utterance,dan,ashley,alex
1,B2,O1,B2,parent,,y,y,y
1,I1,B2,I1,parent,ok,y,y,y
1,J1,J1,I1,child,,y,y,y
1,K1,L1,K1,child,,y,y,y
1,L1,L1,U1,child,,n,n,n
1,N1,N1,I1,child,,n,n,n
1,O1,R1,O1,parent,,n,n,n
1,R1,B2,R1,parent,,n,n,n
1,T1,T1,J1,child,,n,n,n
1,U1,N1,U1,child,not running,n,n,n
2,B2,R1,B2,parent,,y,y,y
2,I1,I1,B2,parent,,?,n,y
2,J1,J1,K1,child,,y,y,y
2,K1,L1,K1,parent,triangle hat,n,y,y
2,L1,B2,L1,child,,n,n,y
2,N1,I1,N1,parent,,?,y,y
2,O1,N1,O1,parent,,n,n,n
2,R1,R1,J1,parent,,n,y,n
2,T1,T1,I1,child,,n,n,n
2,U1,N1,U1,child,,n,y,y
3,B2,T1,B2,child,,y,y,y
3,I1,I1,T1,child,"""serve you?""",?,y,y
3,J1,J1,K1,child,,y,y,y
3,K1,K1,I1,parent,,y,y,y
3,L1,L1,N1,parent,it almost looks like a dog,n,n,n
3,N1,N1,U1,parent,,y,y,y
3,O1,R1,O1,child,dance in the pants like you have ants,y,y,y
3,R1,J1,R1,parent,,y - but there's another running,y,y
3,T1,T1,U1,parent,,n,n,n
3,U1,O1,U1,child,,y,y,y
4,B2,T1,B2,parent,,n,n,n
4,I1,K1,I1,child,,y,y,y
4,J1,J1,T1,parent,harry potter,y,y,y
4,K1,K1,J1,child,,n,n,y
4,L1,L1,N1,parent,,y,y,y
4,N1,U1,N1,parent,,n,n,y
4,O1,O1,N1,parent,,n,n,n
4,R1,R1,J1,parent,,y,y,y
4,T1,J1,T1,child,not harry potter,y,n,n
4,U1,U1,B2,child,you could have just said the fast one,?,n,n